timestamp,ws,wd,pressure,rh,temp,dew,rain
2000-01-01 00:02:00,0.6,62.36,947.42,37.16,34.8,18.16,0.0
2000-01-01 00:03:00,0.1,60.97,945.58,63.55,29.9,22.33,0.0
2000-01-01 00:04:00,1.77,65.06,947.69,37.49,34.91,18.46,0.0
2000-01-01 00:05:00,0.5,83.74,947.46,38.51,35.06,18.98,0.0
2000-01-01 00:06:00,0.96,29.39,947.36,38.0,35.39,19.14,0.0
2000-01-01 00:07:00,1.3,41.54,947.25,37.84,35.29,18.89,0.0
2000-01-01 00:08:00,1.78,30.16,947.02,37.67,35.34,18.82,0.0
2000-01-01 00:09:00,2.23,7.36,946.91,36.5,35.12,18.18,0.0
2000-01-01 00:10:00,2.01,34.05,946.63,37.0,35.07,18.39,0.0
2000-01-01 00:11:00,2.36,13.47,946.58,37.3,35.18,18.61,0.0
2000-01-01 00:12:00,1.74,40.2,946.56,37.75,35.39,18.91,0.0
2000-01-01 00:13:00,0.2,113.46,945.6,60.43,30.4,22.09,0.0
2000-01-01 00:14:00,1.71,359.04,946.87,36.22,35.34,18.21,0.0
2000-01-01 00:15:00,0.21,341.69,946.83,36.0,35.39,18.14,0.0
2000-01-01 00:16:00,1.1,44.58,946.92,36.0,35.6,18.36,0.0
2000-01-01 00:17:00,0.77,55.66,947.15,36.68,35.63,18.68,0.0
2000-01-01 00:18:00,2.29,37.4,947.31,36.82,35.65,18.77,0.0
2000-01-01 00:19:00,1.76,29.14,947.14,36.2,35.3,18.2,0.0
2000-01-01 00:19:01,0.01,140.97,1022.25,104.92,27.51,20.88,0.0
2000-01-01 00:20:00,0.95,25.78,946.87,37.0,35.34,18.52,0.0
2000-01-01 00:21:00,1.88,34.92,946.95,36.93,35.58,18.81,0.0
2000-01-01 00:22:00,1.73,325.51,946.89,36.57,35.47,18.58,0.0
2000-01-01 00:23:00,1.23,302.88,946.8,36.05,35.61,18.46,0.0
2000-01-01 00:24:00,1.3,309.25,946.76,36.05,35.66,18.48,0.0
2000-01-01 00:25:00,0.58,272.41,946.72,36.92,35.9,19.04,0.0
2000-01-01 00:26:00,0.98,272.32,946.89,36.17,36.21,19.07,0.0
2000-01-01 00:27:00,0.36,54.37,946.95,36.75,36.43,19.43,0.0
2000-01-01 00:29:00,0.99,73.83,947.2,35.81,36.4,19.09,0.0
2000-01-01 00:30:00,1.97,44.8,947.13,36.0,36.28,18.94,0.0
2000-01-01 00:31:00,2.73,29.32,946.81,36.09,35.9,18.69,0.0
2000-01-01 00:32:00,1.73,85.55,946.46,36.4,35.83,18.73,0.0
2000-01-01 00:33:00,1.83,98.36,946.42,36.32,35.84,18.81,0.0
2000-01-01 00:34:00,2.14,67.97,946.4,36.67,35.86,18.88,0.0
2000-01-01 00:35:00,0.21,74.85,946.39,36.35,36.16,19.04,0.0
2000-01-01 00:36:00,1.02,41.87,946.71,36.04,36.37,19.1,0.0
2000-01-01 00:37:00,1.98,46.67,946.8,36.32,36.33,19.19,0.0
2000-01-01 00:38:00,1.82,15.79,946.64,35.57,35.92,18.51,0.0
2000-01-01 00:39:00,0.57,14.47,946.35,36.7,36.01,18.95,0.0
2000-01-01 00:40:00,1.36,29.38,946.63,36.33,36.17,19.05,0.0
2000-01-01 00:41:00,1.09,23.81,946.64,36.49,36.13,19.08,0.0
2000-01-01 00:42:00,0.51,349.75,946.6,35.7,36.11,18.69,0.0
2000-01-01 00:43:00,0.4,11.31,946.71,36.0,36.45,18.98,0.0
2000-01-01 00:44:00,0.5,19.44,946.82,35.62,36.63,19.11,0.0
2000-01-01 00:45:00,1.0,24.56,946.92,35.92,36.79,19.4,0.0
2000-01-01 00:46:00,1.32,344.14,946.82,35.81,36.56,19.13,0.0
2000-01-01 00:50:00,0.44,340.0,946.75,35.38,36.98,19.38,0.0
2000-01-01 00:51:00,0.7,335.98,946.62,35.0,36.9,19.24,0.0
2000-01-01 00:52:00,1.04,47.53,946.57,35.8,36.94,19.58,0.0
2000-01-01 00:53:00,1.76,51.18,946.58,35.98,36.96,19.64,0.0
2000-01-01 00:54:00,1.7,44.24,946.4,35.38,36.66,19.17,0.0
2000-01-01 00:55:00,2.28,59.35,946.24,36.1,36.56,19.33,0.0
2000-01-01 00:56:00,1.94,83.13,946.14,35.75,36.4,19.01,0.0
2000-01-01 00:57:00,1.99,66.01,946.06,35.07,36.26,18.56,0.0
2000-01-01 00:58:00,2.57,40.09,946.01,35.0,36.34,18.64,0.0
2000-01-01 00:59:00,2.13,48.15,945.93,35.72,36.28,18.89,0.0
2000-01-01 01:00:00,1.94,55.35,946.02,35.71,36.42,18.91,0.0
